review,kebersihan,linen,service,Gabungan
kebersihan kurang...,neg,neut,neut,negneutneut
"sangat mengecewakan... hotel bad image, kebersihan kurang, berisik",neg,neut,neut,negneutneut
"Kamar mandi perlu ditingkatkan lagi, showernya kurang nyala",neg,neut,neut,negneutneut
"ga banget,kamarnya banyak sawang bedebu,lamou kamar mandi mmati,kamar mandi ga bersih parah deh",neg,neut,neut,negneutneut
"Cukup bersih, tetapi masih ada beberapa bagian yg belum.",neg,neut,neut,negneutneut
"Kebersihan kamar lebih ditingkatkan ya, di sekitar kusen jendela kotor banget. Seperti tidak pernah ",neg,neut,neut,negneutneut
"Tempatnya si strategis, bnyak yg jual makanan di sekitarnya. Tapi Kamarnya sempit, kamar mandi bau, kran air berkarat semua, air tidak lancar, ada hewan2 di kamar mandi (kecoak, kelabang (meskipun sudah mati)). Jadi kecewa, tidak memuaskan",neg,neut,neut,negneutneut
murah dan nyaman tp toilet agak sedikit kotor.,neg,neut,neut,negneutneut
Untuk nginap yg kemaren tempat tidur kurang bersih.. ğŸ™ğŸ»,neg,neut,neut,negneutneut
kamar mandi kurang bersih,neg,neut,neut,negneutneut
"lumayan, tp kamar mandinya kurang bersih & bau.",neg,neut,neut,negneutneut
"Lantai dan tempat tidur kurang bersih, akses agak sulit, lainnya sudah sangat baik.",neg,neut,neut,negneutneut
kebersihan nya perlu di tingkat kan lg...jangan hanya kamar nya doank di bersihin tp luar nya pun hrs di perhatiin..,neg,neut,neut,negneutneut
"Kurang nyaman karena shower untuk closet duduk tidak ada , kurang bersih kesannya!",neg,neut,neut,negneutneut
tempatnya strategis.  deket ke mana2.  luas tapi agak jorok,neg,neut,neut,negneutneut
wastafel macet. kamar kurang bersih di sela lemari banyak sawang,neg,neut,neut,negneutneut
Untuk ditingkatkan kembali kebersihannya,neg,neut,neut,negneutneut
Kebersihan kamar diperhatikan,neg,neut,neut,negneutneut
Karena terlalu banyak kamar jadi tidak diperhatikan masalah kebersihan.,neg,neut,neut,negneutneut
"kamar cukup luas dan lokasi strategis dkt dengan kampus, mall, tempag makan tapi kamar mandi kotor d",neg,neut,neut,negneutneut
"Kamarnya kuranf bagus , lampunya tidak semuanya menyala , sangat petang , ruangannya sangat bau , kamar mandinya kotor ",neg,neut,neut,negneutneut
kamar tidak bersih,neg,neut,neut,negneutneut
kamar panas... lantai kamar kotor peralatan housekeping di letak di lorong hotel,neg,neut,neut,negneutneut
kamar mandinya tolong di perhatikan kembali kebersihannya dan agak sedikit bau dn closet ya terutama .makasih,neg,neut,neut,negneutneut
hanya kamarnya bau rokok dan air kamar mandi bocor ke kamar serta AC kurang dingin. Maaf komplain supaya dijaga kualitasnya,neg,neut,neut,negneutneut
"Ada kecoa di kamar mandi, AC kurang dingin, air panas malam hari tdk nyala",neg,neut,neut,negneutneut
airnya bau banget.. lantai kotor tidak bisa dibuat solat,neg,neut,neut,negneutneut
kamar mandinya kurang bersih airnya asin,neg,neut,neut,negneutneut
"Kamar nya lumayan, wifi nya gak nyampe sampai kamar saya, kamar mandi bau, jorok ",neg,neut,neut,negneutneut
"Pintu kamar bekas congkel, kamar mandi kurang bersih, lemari baju tidak berpenutup (dilepas), lampu kamar cuma 2 dan remang2.. ",neg,neut,neut,negneutneut
kamar nya agak kotor + gelap lantai nya seperti tidak pernah di pel,neg,neut,neut,negneutneut
kamar mandi kotor...,neg,neut,neut,negneutneut
"closet nya rusak kamar mandi tidak bersih lemari sudah jamuran, tidak bersih alas tempat tidur kotor banyak nyamuk ",neg,neut,neut,negneutneut
kebersihan selimut dan kamar masih perlu diperhatikan.. tetapi overall not bad..,neg,neut,neut,negneutneut
kurang bersih aja,neg,neut,neut,negneutneut
kamarnya sangat tidak sesuai gambar yang ditampilkan dan kotor,neg,neut,neut,negneutneut
lebih dijaga kebersihannya trims,neg,neut,neut,negneutneut
"Kalo itinerary ke seputaran Seminyak, tempat nya OK dan relatif deket kmn2. Kamar mandi perlu ditingkatkan kebersihan nya, selain itu OK ",neg,neut,neut,negneutneut
kamar jarang dibersihin,neg,neut,neut,negneutneut
TV gx ad chanel. toilet bermasalah,neg,neut,neut,negneutneut
" Cukup nyaman, tapi lantai dan kaca kamar mandi, waktu saya menginap kurang bersih.",neg,neut,neut,negneutneut
wcnya lumutan..bikin jijik,neg,neut,neut,negneutneut
Kamar kurang bersih.,neg,neut,neut,negneutneut
Airy nya bagus cuman hotel gajah mada nya yg tua dan kamar mandi bau serta banyak berdebu. Jadi tida,neg,neut,neut,negneutneut
"AC nya panas dan tidak dingin, dan juga kurang bersih",neg,neut,neut,negneutneut
"Overall oke, cuma overpriced sama keliatan kaya udah lama gitu, ada beberapa debu, sama nyamuk serin",neg,neut,neut,negneutneut
very nice..tapi bnyk rambut,neg,neut,neut,negneutneut
"Tidak rekomendasi kamar no 1 tembok kotor, banyak nyamuk, WC bau, kamar mandi jorok.",neg,neut,neut,negneutneut
air panas gak nyala. wc kurang bersih.,neg,neut,neut,negneutneut
"Air kotor, lampu kamar terlalu redup, kamar mandi kurang bersih",neg,neut,neut,negneutneut
Kaca kamar mandi kotor,neg,neut,neut,negneutneut
kasurnya berdebu,neg,neut,neut,negneutneut
"furniturenya bgs, sayang liftnya blm bisa dipake, kamarnya kurang bersih. kamar mandinya sampe tumbuh jamur. tp overall lumayan lah dgn harga segitu ",neg,neut,neut,negneutneut
"Tidak sesuai dengan gambar, kebersihan perlu ditingkatkan",neg,neut,neut,negneutneut
"WiFi sepertinya tidak ada, kamar mandi kurang bersih.",neg,neut,neut,negneutneut
"Secara keseluruhan tempat nyaman. parkirn juga aman. AC, Wifii, dan air mandi juga lancar. Cuma rada kecewa sama lantai kamarnya bukan keramik dan kamar mandi sdikit kotor di langit2nya. Secara overal klo untuk tinggal sih okee lah",neg,neut,neut,negneutneut
"kesekuruhan cukup baik ya dgn harga promo yg sangat murah, tp kamarnya sempit, dan properti sudah agak usang",neg,neut,neut,negneutneut
"sangat tidak layak, tua, berdebu, panas, pake kipas angin,, sangat kecewa",neg,neut,neut,negneutneut
Tempat bagus dan besar tapi kebersihan kirang karena banyak rambut di bantal,neg,neut,neut,negneutneut
"Biasanya standard Airy cukup Bagus, kunjungan ini kamarnya perlu sedikit improve standar kebersihan dari pencahayaan mungkin bisa sedikit lebih terang dengan adanya teknologi lampu LED yang murah untuk meningkatkan occupansi, dan ngga Spoky, kamar sih luas tapi perlu peremajaan...mau lihat kamarnya silahkan lihat di Youtube Alfalegro Jalan Jalan",neg,neut,neut,negneutneut
strategis. sayang kebersihan tempat tidur kurang. selebihnya sesuai harga,neg,neut,neut,negneutneut
"lampu kurang terang, lantai kamar juga seperti belum dipel. semoga jadi lebih baik lagi. terima kasih",neg,neut,neut,negneutneut
Kloset Kamar mandi kurang bersih..dan air panasnya tidak panas. Bahkan kalau pagi airnya dingin.,neg,neut,neut,negneutneut
"kamar dan ruang tamu cukup luas, lokasi sangat strategis hanya kebersihan yg hrs di tingkatkan lagi. ",neg,neut,neut,negneutneut
kebersihannya kurang. tlg diperhatikan lg. tapi better lah dengan harga segitu dan terjangkau.,neg,neut,neut,negneutneut
"desainnya suka bali bgt, makanan murah tapi lumayan lama sampainya, dan wc nya agak serem sih dan kotor juga wc nya pasir dimana2. pw sih tapi hotelnya buat santai2 di kursi depan",neg,neut,neut,negneutneut
"Overall okay, cuma klosetnya jorok, air panas kurang stabil.",neg,neut,neut,negneutneut
kamar mandi lebih dirawat kenyamanannya.,neg,neut,neut,negneutneut
"kamarnya kurang bersih, sarapan biasa aja.",neg,neut,neut,negneutneut
langit langit kamar mandi bocor perlu perbaikan. wifi tdk terjangkau. kayu pada pintu dan jendela sdh sip dgn air jadi aroma kamar jadi lembab. binatang spt semut pemakan kayu sering muncul dan mrk besar besar. sy mungkin akan cari tempat lain bila ke bali lagi.,neg,neut,neut,negneutneut
"Saya lihat kamar masih kurang bersih yaa. Di belakang kursi, meja masih ada debu. ",neg,neut,neut,negneutneut
"Kursi tidak bisa dipakai, malah dijadikan ganjalan meja. Toilet becek, AC berisik, kolong kasur kotor banyak sampah. ",neg,neut,neut,negneutneut
kondisi kamar mandi kurang bagus serta airnya agak lengket. mungkin karena bangunan lama. Mohon ditingkatkan lagi kebersihan kamarnya. selebihnya oke. terima kasih,neg,neut,neut,negneutneut
"kondisi kamar belum disapu,, kolong kasur banyak sampah,, kloset kotor,, bekas pipisnya ga disiram jorok. tolong sebelum tamu cek in di periksa dulu kamar dan yg lainnya. ",neg,neut,neut,negneutneut
"kamar tidak sesuai foto sangat kotor ,kurang terawat,,foto sangat menipu dengan keadaan sebenarnya",neg,neut,neut,negneutneut
"kebersihan kurang, debu dan ada bulu rambut di tempat tidur",neg,neut,neut,negneutneut
"Cukup luas kamarnyaa,,  hanya kamar mandi mungkin yng kurang bersihh.trimakasih airy",neg,neut,neut,negneutneut
lumayan murah. AC tidak dingin. kamar mandi kurang bersih. lingkungan sekitar kamar kurang bersih.,neg,neut,neut,negneutneut
kualitas furnitur dan kebersihan perlu ditingkatkan,neg,neut,neut,negneutneut
"Tempatnya kotor, remote tv tidak berfungsi, AC bocor dan tidak ada remote.",neg,neut,neut,negneutneut
"Kebersihan kamar mohon diperhatikan,  didalam kamar, bau toilet cukup menyengat",neg,neut,neut,negneutneut
"Kamae Mandi kurang bersih, ada puntung rokok. kamar tidur jg bau tidak sedap, AC kurang dingin... View kurang enak jg.",neg,neut,neut,negneutneut
terlalu berdebu dan kurang menarik,neg,neut,neut,negneutneut
kemaren kunci nya rusak jd kalo masuksusah buka nya dan wc nya kemaren agak kotor,neg,neut,neut,negneutneut
"kurang bersih, banyak serangga. ",neg,neut,neut,negneutneut
waktu di kamar mandi menemukan darah menempel di selang penyiram wc nya.,neg,neut,neut,negneutneut
"Lumayan nyaman, cuma ac kurang dingin dan kebersihan perlu ditingkatkan",neg,neut,neut,negneutneut
lemarinya kamar ya tlg biar ga berdebu dan banyak remah remah bangunan,neg,neut,neut,negneutneut
bersih sih kamarnya tp maaf kamar mandinya kurang brsih ada bekas rambut dipembuangan airnya wastapelnya jg kotor ada rambutnya..,neg,neut,neut,negneutneut
"saya menginap untuk 4 malam di airy eco sleman jembatan merah, first impression saat masuk kedalam kamar adalah kecewa kamar tidak terlalu luas padahal sy pesan untuk family room, kamar mandi bau, room mate/keset kaki bau sekali, setiap hari saya minta di bersihkan, tapi toilet tetap dalam keadaan kotor/bau,semua sangat mengecewakan.",neg,neut,neut,negneutneut
"kamar tidak sesuai dengan harapan,ac sangat kotor,ubin terangkat jadi bahaya ketika terinjak,toilet ada kecoa........general cleaning harus berkala karna fasilitas sangat buruk",neg,neut,neut,negneutneut
toilets kotor n g jln pool kotor sekli kayak kolam ikan wifi g ada tlp g bs d pakek all is bad,neg,neut,neut,negneutneut
"Biasa saja. Kamar tidak bersih, gelap, bau serangga, dan banyak nyamuk",neg,neut,neut,negneutneut
kamar kotor dan ac panas . saya langsung checkout terimakasih,neg,neut,neut,negneutneut
Lokasi bagus tapi kamarnya kurang bersih.,neg,neut,neut,negneutneut
kamarnya kurang bersih,neg,neut,neut,negneutneut
"kamar kurang bersih, ada tikus didalam kamar sempat gigit jempol kaki saya",neg,neut,neut,negneutneut
lokasi strategis tapi kamar agak sempit dan sedikit kotor.....,neg,neut,neut,negneutneut
"sy booking 2kmr hr sabtu, air mati shg tdk bs mandi maupun utk urusan kamar kecil. kamar mandi sangat kotor.  Ranjang baik, kebersihan kamar lumayan. prncahayaan ruangan kirang lampu.",neg,neut,neut,negneutneut
"Saya menemukan sarang laba-laba di sudut kamar, tidak dilakukan pembersihan dengan baik.",neg,,,
Kamar mandi terlihat kotor dan tidak terawat dengan baik.,neg,,,
"Lantai kamar terasa lengket dan kotor, membuat saya merasa tidak nyaman.",neg,,,
Saya kecewa dengan kualitas kebersihan linen dan selimut di kamar.,neg,,,
"Kamar tercium bau yang tidak sedap, membuat pengalaman menginap tidak menyenangkan.",neg,,,
Fasilitas umum seperti lift dan tangga terlihat kotor dan tidak terawat.,neg,,,
"Kebersihan ruang makan di hotel ini sangat buruk, meja tidak dibersihkan dengan baik.",neg,,,
Saya menemukan noda dan kotoran di sofa di dalam kamar.,neg,,,
Area kolam renang terlihat kotor dan tidak terjaga kebersihannya.,neg,,,
"Pengalaman check-in yang buruk, kamar tampak kotor dan berantakan.",neg,,,
"Banyak debu di ventilasi dan AC, terasa kurang terjaga kebersihannya.",neg,,,
Kamar terlihat kumuh dan tidak terawat dengan baik.,neg,,,
Terdapat bau yang tidak enak di dalam lemari kamar.,neg,,,
"Kebersihan kamar terlihat kurang diperhatikan, terutama di sudut-sudut ruangan.",neg,,,
Saya menemukan bekas makanan dari tamu sebelumnya di dalam lemari es.,neg,,,
Kebersihan linen dan handuk yang disediakan sangat mengecewakan.,neg,,,
"Ada rambut yang tersebar di lantai kamar, tanda bahwa pembersihan kurang optimal.",neg,,,
Kondisi kamar sangat jauh dari standar kebersihan yang diharapkan.,neg,,,
Penggunaan produk pembersih yang tidak tepat meninggalkan aroma yang kurang menyenangkan di kamar.,neg,,,
"Kebersihan jendela kamar kurang terjaga, terdapat banyak debu yang menempel.",neg,,,
Area parkir terlihat kotor dan tidak terawat dengan baik.,neg,,,
Pelayanan housekeeping sangat lambat dalam membersihkan kamar.,neg,,,
"Penggunaan pewangi yang berlebihan mengganggu alergi saya, memberi kesan kurang bersih.",neg,,,
"Saya menemukan bekas makanan di bawah tempat tidur, tidak dibersihkan dengan baik.",neg,,,
Kebersihan handuk yang disediakan di kamar sangat memprihatinkan.,neg,,,
"Saya kecewa dengan kualitas pembersihan di kamar mandi, terdapat banyak noda yang tidak hilang.",neg,,,
"Ketika saya tiba di kamar, saya menemukan sampah yang tidak dibersihkan di bak sampah.",neg,,,
"Kebersihan linen tempat tidur sangat buruk, terdapat noda yang tidak bisa diabaikan.",neg,,,
Saya merasa kecewa karena lantai kamar terasa lengket dan kotor.,neg,,,
Penggunaan alat pembersih yang tidak tepat meninggalkan jejak noda di permukaan meja.,neg,,,
"Kebersihan kamar sangat mengecewakan, saya menemukan banyak debu di sana.",neg,,,
Saya merasa kecewa karena kamar tidak dibersihkan dengan baik sebelum kedatangan saya.,neg,,,
"Ada bau yang tidak sedap di dalam kamar, membuat pengalaman menginap tidak menyenangkan.",neg,,,
"Sayang sekali, kebersihan kamar mandi kurang terjaga dengan baik.",neg,,,
Saya tidak menduga akan menemukan noda di linen tempat tidur.,neg,,,
"Pelayanan housekeeping sangat kurang, kamar tidak dibersihkan dengan baik setiap hari.",neg,,,
"Saya menemukan rambut di wastafel dan di lantai kamar, cukup menjijikkan.",neg,,,
"Kebersihan kamar sangat buruk, banyak debu di segala penjuru.",neg,,,
Saya merasa tidak nyaman karena kesan kebersihan yang kurang terjaga di area umum hotel.,neg,,,
"Layanan kebersihan yang kurang memuaskan, handuk diganti namun kotoran di kamar tidak dibersihkan.",neg,,,
"Pengalaman check-in pertama kali sangat mengecewakan, kamar belum siap dan kotor.",neg,,,
Kamar terlihat kusam dan kurang terawat dengan baik dari segi kebersihan.,neg,,,
Menginap di kamar yang tidak bersih sama sekali membuat saya merasa tidak nyaman.,neg,,,
Ada bekas-bekas noda yang tidak dibersihkan di meja dan kursi di dalam kamar.,neg,,,
Pengalaman buruk karena kebersihan kamar yang kurang memadai.,neg,,,
"Saya menemukan kotoran di karpet kamar, sangat mengecewakan.",neg,,,
"Bathroom amenities yang tampaknya sudah lama tidak diganti, terasa kurang higienis.",neg,,,
Saya kecewa karena kebersihan kamar tidak sebanding dengan harga yang dibayarkan.,neg,,,
"Ada bau yang tidak sedap di koridor, memberi kesan kurangnya perhatian pada kebersihan.",neg,,,
"Sangat disayangkan, kebersihan kamar mandi tidak terjaga dengan baik.",neg,,,